ohrId,mailid,firstName,lastName,gender,dob,employeeType,doj,band,role,experience,poc,sapidstatusId

1,employee1@company.com,First1,Last1,Male,1990-04-11,Intern,2020-01-31,A1,Analyst,14,POC1,1

2,employee2@company.com,First2,Last2,Male,1990-07-20,Contract,2020-03-01,A1,Analyst,13,POC2,2

3,employee3@company.com,First3,Last3,Female,1990-10-28,FullTime,2020-03-31,B1,Analyst,2,POC3,3

4,employee4@company.com,First4,Last4,Male,1991-02-05,Contract,2020-04-30,C1,Manager,13,POC4,4

5,employee5@company.com,First5,Last5,Female,1991-05-16,Contract,2020-05-30,C1,Manager,11,POC5,5

6,employee6@company.com,First6,Last6,Male,1991-08-24,Intern,2020-06-29,C1,Developer,4,POC6,6

7,employee7@company.com,First7,Last7,Female,1991-12-02,Contract,2020-07-29,B1,Analyst,14,POC7,7

8,employee8@company.com,First8,Last8,Male,1992-03-11,FullTime,2020-08-28,A1,Manager,4,POC8,8

9,employee9@company.com,First9,Last9,Male,1992-06-19,FullTime,2020-09-27,A1,Analyst,15,POC9,9

10,employee10@company.com,First10,Last10,Female,1992-09-27,Contract,2020-10-27,C1,Analyst,10,POC10,10

 
